Happy,Sad,Romantic,Calm
happy,sad,romantic,calm
smiling,silly,dertermined,contemplative
happiness,alienated,dignified,harmonious
laughing,apathetic,dreamy,peaceful
amaze,apprehensive,eager,relax
amuse,brood,empathtic,quiet
cheer,depressed,enthralled,pacific
comfortable,desolate,idyllic,gentle
ecstatic,disappointed,mellow,appease
energetic,discontent,sentimental,hush
enlighten,dismay,sympathetic,silence
excited,distressed,touched,mollify
exhilarated,embarrassed,warm,restful
fulfilled,frustrated,trust,
grateful,futile,crush,
hopeful,gloomy,fatalistic,
interest,break,haunting,
joy,hopeless,charming,
jubilant,humiliated,love,
optimistic,indifferent,pretty,
passionate,isolated,utopia,
pleased,lonely,fantast,
proud,melancholic,,
refreshed,morose,,
rejuvenated,numb,,
relieve,pain,,
satisfy,pensive,,
surprise,pessimistic,,
thank,reject,,
,remorse,,
,sick,,
,sombre,,
,vulnerable,,
,worry,,
