id,Main_mood,happy,sad,romantic,calm
0,romantic,6,17,19,7
1,sad,5,12,5,0
2,sad,5,13,9,5
3,sad,9,13,9,4
4,romantic,0,2,4,0
5,sad,12,45,12,0
6,romantic,0,2,7,1
7,sad,6,7,4,0
8,sad,2,7,6,1
9,romantic,2,4,8,1
10,romantic,2,15,18,3
11,romantic,12,12,13,1
12,sad,1,7,2,2
13,sad,3,8,2,0
14,happy,romantic,5,2,5,0
15,happy,romantic,14,3,14,0
16,sad,58,188,43,29
17,sad,2,60,3,1
18,happy,sad,romantic,calm,0,0,0,0
19,happy,2,1,0,0
20,romantic,1,5,13,4
21,romantic,0,0,1,0
22,happy,5,2,0,0
23,romantic,7,27,30,11
24,romantic,7,28,44,10
25,sad,12,14,2,8
26,happy,88,47,16,12
27,romantic,7,6,9,0
28,happy,17,12,8,6
29,sad,7,8,5,2
30,romantic,6,30,105,9
31,romantic,3,14,18,11
32,sad,13,75,43,28
33,romantic,8,9,76,17
34,happy,59,43,21,20
35,romantic,6,20,205,19
36,romantic,15,61,65,19
37,romantic,4,1,5,1
38,happy,12,11,6,3
39,romantic,4,10,13,7
40,romantic,0,4,6,4
41,happy,sad,2,2,0,0
42,sad,1,2,1,1
43,happy,sad,romantic,calm,0,0,0,0
44,romantic,1,0,3,0
45,sad,romantic,calm,0,3,3,3
46,romantic,1,1,4,2
47,happy,6,2,0,2
48,calm,0,1,1,4
49,sad,0,2,1,1
50,happy,sad,romantic,3,3,3,2
51,romantic,0,0,2,1
52,happy,romantic,1,0,1,0
53,happy,romantic,1,0,1,0
54,sad,0,3,0,0
55,sad,5,7,6,4
56,romantic,2,0,5,0
57,romantic,0,0,4,1
58,happy,4,1,2,1
59,romantic,1,2,5,1
60,romantic,6,3,11,4
61,happy,13,11,1,0
62,happy,sad,2,2,1,0
63,sad,3,4,3,1
64,romantic,0,1,3,0
65,sad,romantic,1,9,9,5
66,romantic,0,2,5,2
67,romantic,0,3,6,1
68,sad,4,11,6,5
69,happy,4,0,3,0
70,romantic,3,4,13,2
71,romantic,3,2,5,2
72,romantic,4,3,13,0
73,romantic,3,0,6,1
74,romantic,0,5,18,4
75,romantic,5,3,10,2
76,romantic,1,3,8,1
77,romantic,5,1,12,0
78,sad,4,14,3,0
79,romantic,1,5,7,5
80,romantic,1,2,4,1
81,romantic,1,1,2,0
82,romantic,2,3,8,2
83,happy,sad,5,5,3,0
84,sad,4,8,2,1
85,sad,1,7,3,1
86,sad,3,14,3,0
87,sad,2,12,10,4
88,romantic,2,10,12,6
89,sad,1,2,1,1
90,sad,romantic,6,8,8,0
91,romantic,0,0,1,0
92,happy,sad,romantic,calm,1,1,1,1
93,sad,1,5,3,2
94,sad,5,8,7,0
95,romantic,1,3,4,1
96,romantic,1,5,12,4
97,sad,3,25,8,6
98,sad,2,39,7,6
99,happy,94,88,36,91
100,sad,116,130,74,128
101,calm,132,127,43,148
102,sad,19,38,20,16
103,sad,70,84,36,73
104,calm,64,68,48,73
105,calm,94,104,35,118
106,happy,91,90,67,83
107,sad,87,94,40,91
108,sad,81,95,51,72
109,sad,131,142,116,87
110,happy,69,67,34,63
111,happy,131,105,65,113
112,calm,84,89,40,100
113,happy,sad,romantic,calm,0,0,0,0
